R,G,B
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
0.05,0.05,0.05
