R,G,B
0.15,0.3,0.45
0.15,0.3,0.45
0.1,0.25,0.35
0.1,0.2,0.3
0.1,0.2,0.3
0.1,0.2,0.3
0.15,0.25,0.4
0.15,0.3,0.45
0.1,0.25,0.4
0.15,0.3,0.4
0.15,0.4,0.65
0.15,0.45,0.7
0.15,0.45,0.75
0.15,0.3,0.5
0.15,0.35,0.5
0.15,0.35,0.55
0.15,0.35,0.55
0.15,0.3,0.45
0.15,0.3,0.5
0.15,0.3,0.4
0.1,0.25,0.35
0.1,0.25,0.35
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.25,0.4
0.1,0.25,0.35
0.1,0.2,0.3
0.1,0.25,0.35
0.1,0.2,0.3
0.15,0.25,0.4
0.1,0.25,0.35
0.1,0.2,0.3
0.1,0.2,0.3
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.3,0.45
0.3,0.75,1.25
0.25,0.7,1.15
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.25,0.4
0.15,0.3,0.45
0.15,0.25,0.4
0.1,0.25,0.35
0.1,0.25,0.35
0.15,0.3,0.5
0.15,0.45,0.75
0.15,0.45,0.75
0.15,0.35,0.6
0.15,0.45,0.7
0.2,0.5,0.85
0.2,0.5,0.85
0.2,0.5,0.85
0.15,0.5,0.8
0.15,0.3,0.4
0.15,0.3,0.45
0.15,0.25,0.4
0.15,0.3,0.45
0.15,0.3,0.5
0.15,0.35,0.55
0.15,0.35,0.55
0.15,0.35,0.55
0.15,0.3,0.5
0.15,0.3,0.45
0.1,0.25,0.35
0.15,0.25,0.35
0.1,0.25,0.35
0.1,0.2,0.3
0.1,0.2,0.3
0.1,0.2,0.3
0.1,0.25,0.4
0.15,0.35,0.5
0.15,0.35,0.6
0.15,0.3,0.45
0.1,0.2,0.3
0.15,0.3,0.4
0.15,0.3,0.45
0.15,0.3,0.45
0.15,0.3,0.5
0.15,0.35,0.55
0.15,0.35,0.55
0.15,0.35,0.55
0.15,0.35,0.5
0.15,0.3,0.45
0.15,0.25,0.35
0.15,0.35,0.55
0.1,0.25,0.35
0.1,0.2,0.3
0.1,0.2,0.3
0.1,0.2,0.3
0.1,0.25,0.35
0.1,0.2,0.3
0.1,0.2,0.3
0.1,0.2,0.3
0.1,0.2,0.3
