R,G,B
0.5,0.25,0.2
0.5,0.25,0.25
0.5,0.25,0.25
0.5,0.25,0.25
0.5,0.25,0.25
0.5,0.25,0.2
0.5,0.2,0.2
0.5,0.2,0.2
0.5,0.2,0.2
0.5,0.25,0.25
0.5,0.25,0.25
0.5,0.25,0.25
0.55,0.25,0.25
0.55,0.25,0.25
0.5,0.25,0.25
0.5,0.2,0.25
0.5,0.25,0.25
0.55,0.25,0.25
0.55,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.65,0.3,0.3
0.65,0.3,0.3
0.65,0.3,0.3
0.65,0.3,0.3
0.65,0.3,0.3
0.6,0.3,0.25
0.55,0.25,0.25
0.55,0.25,0.25
0.7,0.35,0.3
1.05,0.5,0.45
0.8,0.35,0.35
0.75,0.35,0.35
0.7,0.35,0.3
0.7,0.3,0.3
0.75,0.35,0.35
0.7,0.35,0.3
0.65,0.3,0.3
0.7,0.35,0.3
0.75,0.35,0.35
0.7,0.35,0.3
0.85,0.4,0.35
0.9,0.45,0.4
0.9,0.45,0.4
1,0.45,0.4
1.05,0.5,0.45
1.05,0.5,0.45
1.15,0.5,0.45
0.8,0.3,0.3
1.1,0.5,0.45
1.05,0.5,0.45
1.15,0.5,0.45
1.1,0.5,0.45
1.05,0.5,0.45
0.75,0.35,0.35
0.5,0.25,0.25
0.55,0.25,0.25
0.55,0.25,0.25
0.65,0.3,0.3
0.7,0.35,0.3
0.6,0.3,0.25
0.55,0.25,0.25
0.7,0.35,0.3
0.75,0.4,0.35
0.6,0.3,0.3
0.65,0.3,0.3
0.6,0.25,0.25
0.6,0.3,0.3
0.7,0.35,0.3
0.7,0.35,0.35
0.7,0.35,0.3
0.7,0.35,0.35
0.7,0.3,0.3
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.25,0.25
0.6,0.3,0.3
0.6,0.25,0.25
0.6,0.3,0.25
0.65,0.3,0.3
0.75,0.35,0.35
0.8,0.35,0.35
0.9,0.45,0.4
1.05,0.5,0.45
1.1,0.5,0.45
1.1,0.5,0.45
1.1,0.5,0.45
1.1,0.5,0.45
1.1,0.5,0.45
1.05,0.45,0.4
1.1,0.5,0.45
1.05,0.5,0.45
0.85,0.45,0.4
